plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
145,0,man,poci,class,1,NA,99.9,3.0,NA
145,0,vhu,poci,class,1,NA,100.0,44.1,NA
146,1,ana,poci,class,NA,NA,NA,0.0,NA
146,0,man,poci,class,1,NA,99.9,8.3,NA
146,0,vhu,poci,class,1,NA,99.9,9.3,NA
147,1,ana,poci,class,1,NA,100.0,0.7,NA
147,0,man,poci,class,1,NA,99.9,2.9,NA
147,0,vhu,poci,class,1,NA,100.0,35.6,NA
148,1,ana,poci,class,NA,NA,NA,0.0,NA
148,0,man,poci,class,1,NA,99.8,4.6,NA
148,0,vhu,poci,class,1,NA,100.0,27.5,NA
149,1,ana,poci,class,NA,NA,NA,0.0,NA
149,0,man,poci,class,NA,NA,NA,0.0,NA
149,0,vhu,poci,class,1,NA,99.9,15.9,NA
150,1,ana,poci,class,NA,NA,NA,0.0,NA
150,0,man,poci,class,NA,NA,NA,0.0,NA
150,0,vhu,poci,class,1,NA,100.0,47.2,NA
151,1,ana,poci,class,NA,NA,NA,0.0,NA
151,0,man,poci,class,1,NA,100.1,4.8,NA
151,0,vhu,poci,class,1,NA,100.0,24.5,NA
152,1,ana,poci,class,NA,NA,NA,0.0,NA
152,0,man,poci,class,1,NA,100.1,1.2,NA
152,0,vhu,poci,class,1,NA,99.9,19.6,NA
153,1,ana,poci,class,NA,NA,NA,0.0,NA
153,0,man,poci,class,1,NA,99.9,4.3,NA
153,0,vhu,poci,class,1,NA,100.0,28.0,NA
154,1,ana,poci,class,NA,NA,NA,0.0,NA
154,0,man,poci,class,1,NA,100.1,2.0,NA
154,0,vhu,poci,class,1,NA,100.0,24.4,NA
155,1,ana,poci,class,NA,NA,NA,0.0,NA
155,0,man,poci,class,1,NA,100.1,3.5,NA
155,0,vhu,poci,class,1,NA,100.0,29.0,NA
156,1,ana,poci,class,NA,NA,NA,0.0,NA
156,0,man,poci,class,1,NA,100.1,2.4,NA
156,0,vhu,poci,class,1,NA,99.9,31.5,NA
157,1,ana,poci,class,NA,NA,NA,0.0,NA
157,0,man,poci,class,1,NA,100.1,5.7,NA
157,0,vhu,poci,class,1,NA,100.0,24.5,NA
158,1,ana,poci,class,NA,NA,NA,0.0,NA
158,0,man,poci,class,NA,NA,NA,0.0,NA
158,0,vhu,poci,class,1,NA,100.0,22.4,NA
159,1,ana,poci,class,NA,NA,NA,0.0,NA
159,0,man,poci,class,NA,NA,NA,0.0,NA
