point,transect,x,y,z
577,A,-0.6362,-17.8606,-9.2029
578,A,-0.6382,-17.8508,-9.2031
579,A,-0.6402,-17.8410,-9.2056
580,A,-0.6423,-17.8311,-9.2431
581,A,-0.6443,-17.8213,-9.2327
582,A,-0.6463,-17.8115,-9.2319
583,A,-0.6483,-17.8017,-9.2344
584,A,-0.6503,-17.7919,-9.2612
585,A,-0.6523,-17.7821,-9.2653
586,A,-0.6544,-17.7723,-9.2699
587,A,-0.6564,-17.7625,-9.2699
588,A,-0.6584,-17.7527,-9.2801
589,A,-0.6604,-17.7429,-9.3689
590,A,-0.6624,-17.7331,-9.4091
591,A,-0.6644,-17.7233,-9.4208
592,A,-0.6665,-17.7135,-9.4140
593,A,-0.6685,-17.7037,-9.3964
594,A,-0.6705,-17.6939,-9.4025
595,A,-0.6725,-17.6841,-9.4028
596,A,-0.6745,-17.6743,-9.4046
597,A,-0.6765,-17.6645,-9.4236
598,A,-0.6786,-17.6547,-9.4309
599,A,-0.6806,-17.6449,-9.4527
600,A,-0.6826,-17.6351,-9.4546
601,A,-0.6846,-17.6252,-9.4481
602,A,-0.6866,-17.6154,-9.4499
603,A,-0.6886,-17.6056,-9.4551
604,A,-0.6906,-17.5958,-9.4832
605,A,-0.6927,-17.5860,-9.4723
606,A,-0.6947,-17.5762,-9.4641
607,A,-0.6967,-17.5664,-9.4628
608,A,-0.6987,-17.5566,-9.4628
609,A,-0.7007,-17.5468,-9.4673
610,A,-0.7027,-17.5370,-9.4623
611,A,-0.7048,-17.5272,-9.4623
612,A,-0.7068,-17.5174,-9.4634
613,A,-0.7088,-17.5076,-9.4676
614,A,-0.7108,-17.4978,-9.4689
615,A,-0.7128,-17.4880,-9.5159
616,A,-0.7148,-17.4782,-9.5125
617,A,-0.7169,-17.4684,-9.5436
618,A,-0.7189,-17.4586,-9.5816
619,A,-0.7209,-17.4488,-9.5865
620,A,-0.7229,-17.4390,-9.5888
621,A,-0.7249,-17.4291,-9.5905
622,A,-0.7269,-17.4193,-9.5846
623,A,-0.7289,-17.4095,-9.5821
624,A,-0.7310,-17.3997,-9.5808
625,A,-0.7330,-17.3899,-9.5798
